mz,rt,group,CMP,intensity,annotation,H1,H2,H3a_rep1,H3a_rep2,H3a_rep3,H3b,H4_1,H4_2,H4_3,H5_rep1,H5_rep2,N_rep1,N_rep2,N_rep3,O1a,O1b,O2,O3_rep1,O3_rep2,O3_rep3,O4,P1a,P1b,P2a,P2b_rep1,P2b_rep2,P2b_rep3,P2c,P3,P4a,P4b,P5,P6,QC_rep1,QC_rep2,QC_rep3,QC_rep4,V1a,V1b,V2,V3,V5,neutral_mass,cmp_ppm,size,intensity_rel,isogroup,isonr,charge,adduct_ion,ppm
347.1247314,555,M347_R555_3847,NA,0,none,0,0,0,0,0,0,0,0,0,0,0,0,9149,11367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
347.1349807,198,M347_R198_3848,CMP1388,43078,none,50868,9631,20491,33197,32754,25074,0,0,0,0,0,0,0,0,0,33430,114996,39219,45975,39074,15797,0,0,8077,13286,9018,13065,0,0,0,0,0,0,7923,17563,23476,22894,38537,16046,44711,25193,55003,248.1257,NA,3,48.44261986,NA,NA,NA,NA,NA
347.1346099,52,M347_R52_3849,CMP796,24018,none,13292,0,15690,21533,22739,20657,0,0,0,0,0,0,0,0,0,32305,8144,25066,23289,27858,17504,0,0,7706,12124,8410,11162,0,0,0,0,0,0,0,13178,18564,17702,37352,19720,37263,15131,28516,348.1419,0.74,4,100,NA,NA,NA,[M-H]-,NA
347.1355588,319,M347_R319_3850,NA,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6988,6795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
347.147075,855,M347_R855_3851,CMP266,38128,none,17856,0,0,0,0,0,0,0,0,0,0,21315,38469,0,13064,8127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45935,16788,7016,0,0,452.2949,4.89,8,100,NA,NA,NA,NA,NA
347.1467228,450,M347_R450_3852,NA,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5696,NA,NA,NA,NA,NA,NA,NA,NA,NA
347.1490479,857,M347_R857_3853,NA,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5616,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
347.1863793,483,M347_R483_3854,CMP448,172704,none,10532,0,21262,26066,28480,0,94775,92766,55100,0,0,0,8098,6416,0,7804,22972,0,6999,6565,0,0,0,22633,0,0,0,0,14618,10067,0,7610,15496,7897,27678,37822,40486,23506,0,0,33215,573696,642.4151,26.24,6,100,NA,NA,NA,NA,NA
347.1714783,318,M347_R318_3855,CMP342,34770,none,9101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5792,10800,0,0,0,0,0,0,31779,35942,23417,28983,9308,10384,0,0,0,19383,0,0,8267,7750,9188,0,0,6768,113090,306.1471,2.22,7,100,1,0,1,NA,NA
347.1988831,664,M347_R664_3856,CMP439,17609,none,0,0,0,0,0,6662,0,0,0,17351,6380,0,8252,8645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27028,594.3985,0.7,6,20.21165215,NA,NA,NA,NA,NA
347.1972675,417,M347_R417_3857,NA,0,none,0,0,0,0,0,0,0,0,0,12050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
347.223013,950,M347_R950_3858,CMP787,59862,none,8725,10962,41880,64300,61903,0,149409,49246,54838,7820,0,7232,18291,31002,0,42099,0,0,0,0,0,0,9473,26471,0,0,0,10640,26525,21630,9012,19339,0,0,22458,35415,51484,22268,0,0,10760,199925,303.2282,NA,5,20.30170976,2,0,1,NA,NA
347.2228394,834,M347_R834_3859,CMP500,39231,none,0,0,38563,44008,47209,10878,0,0,0,0,0,15217,60677,62004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10816,0,0,0,0,0,0,0,0,18572,0,457.3592,30.97,6,100,NA,NA,NA,NA,NA
347.2217054,598,M347_R598_3860,NA,0,none,0,0,0,0,0,0,7224,8554,18250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7633,8346,10554,0,0,0,0,18369,NA,NA,NA,NA,NA,NA,NA,NA,NA
347.2439087,724,M347_R724_3861,CMP1207,31957,none,0,0,21932,24918,36072,139842,41486,28998,27139,0,0,0,0,0,9883,29533,0,0,0,0,10601,7885,0,16885,15821,14018,12061,10397,10668,8408,0,0,0,0,12816,11720,14095,0,0,0,0,16420,348.2512,0.75,3,17.8041973,NA,NA,NA,[M-H]-,NA
347.2425232,628,M347_R628_3862,CMP1830,9382,none,0,0,0,0,0,11932,0,0,0,9496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6170,0,0,0,0,0,0,0,0,11118,624.4069,NA,2,45.38467289,NA,NA,NA,NA,NA
347.2596855,942,M347_R942_3863,CMP400,14370,none,0,0,15311,23638,21383,6428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348.267,NA,7,100,NA,NA,NA,[M-H]-,NA
347.2586456,863,M347_R863_3864,CMP263,14126,none,21285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875.6189,6.2,8,100,NA,NA,NA,NA,NA
347.2944946,903,M347_R903_3865,NA,0,none,0,0,7815,10101,10306,0,0,0,0,0,0,0,0,0,0,0,0,13447,19404,19870,6325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13044,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
347.335284,484,M347_R484_3866,NA,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12098,NA,NA,NA,NA,NA,NA,NA,NA,NA
347.9781986,557,M348_R557_3867,NA,0,none,0,0,0,0,0,0,0,0,0,0,0,13336,23121,28686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
348.1374008,194,M348_R194_3868,CMP1387,11108,none,6873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8095,191.9563,NA,3,54.69725505,NA,NA,NA,NA,NA
348.1339582,750,M348_R750_3869,CMP258,11690,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10133,0,0,0,0,0,0,0,0,0,0,0,0,551.4042,0.5,8,45.46100559,1,0,1,NA,NA
348.1753355,318,M348_R318_3870,NA,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16670,NA,NA,NA,NA,NA,NA,NA,NA,NA
348.1877788,434,M348_R434_3871,NA,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16768,NA,NA,NA,NA,NA,NA,NA,NA,NA
348.1901593,484,M348_R484_3872,NA,0,none,0,0,0,0,0,0,17190,17163,9828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110536,NA,NA,NA,NA,NA,NA,NA,NA,NA
