element,isotope,mass,abundance,ratioC
Pb,208Pb,207.9766521,0.524,0
Bi,209Bi,208.9803987,1,0
Th,232Th,232.0380553,1,0
Pa,231Pa,231.035884,1,0
U,234U,234.0409521,5.40E-05,0
U,235U,235.0439299,0.007204,0
U,238U,238.0507882,0.992742,0
[15]N,15N,15.000109,1,4
[13]C,13C,13.003355,1,0
D,2H,2.01410178,1,6
[37]Cl,37Cl,36.9659026,1,2
[18]O,18O,17.9991604,1,3
[16]O,16O,15.99491462,1,3
[12]C,12C,12,1,0
[2]H,2H,2.014101778,1,6
[33]S,33S,32.97145854,0.0075,3
[34]S,34S,33.96786687,0.0425,3
[35]S,35S,35,0,3
[36]S,36S,35.96708088,1.00E-04,3
[35]Cl,35Cl,34.96885271,0.7576,2
