mz,intensity,rt,group
167.035,584117,380,M167_R380_283
167.0348,504787,533,M167_R533_284
167.0339,160356,843,M167_R843_285
167.0347,61088,225,M167_R225_286
167.0381,38656,249,M167_R249_288
167.0605,209518,412,M167_R412_289
167.1073,22225,196,M167_R196_290
167.1439,11044,512,M167_R512_291
167.9861,78817,427,M168_R427_292
168.0299,201623,397,M168_R397_293
168.0305,69829,254,M168_R254_294
168.0372,13245,76,M168_R76_295
168.1033,471817,321,M168_R321_297
168.988,26074,249,M169_R249_300
169.0399,11838,470,M169_R470_301
169.0504,10185,52,M169_R52_302
169.0873,30907,53,M169_R53_303
169.0871,1768639,313,M169_R313_304
169.1596,22986,721,M169_R721_305
170.0096,24921,757,M170_R757_307
170.0273,55090,310,M170_R310_309
170.0899,62374,307,M170_R307_310
170.8332,191574,63,M171_R63_311
171.0121,601334,159,M171_R159_314
171.012,1055648,51,M171_R51_315
171.0564,62710,283,M171_R283_316
171.066,1569001,92,M171_R92_317
171.1027,4311992,320,M171_R320_318
171.1019,4685344,908,M171_R908_319
171.1386,1005216,672,M171_R672_320
171.1389,387355,949,M171_R949_321
171.2069,24514,942,M171_R942_322
171.9803,14282,561,M172_R561_324
172.0151,35315,51,M172_R51_325
172.015,14344,157,M172_R157_326
172.0693,34684,92,M172_R92_327
172.1059,138288,336,M172_R336_328
172.1051,338737,927,M172_R927_329
172.0982,58014,150,M172_R150_330
172.0979,26100,52,M172_R52_331
172.142,12780,715,M172_R715_332
172.8301,101475,62,M173_R62_334
172.9914,28666,51,M173_R51_335
173.0457,720401,49,M173_R49_337
173.0813,3675840,74,M173_R74_338
173.0811,12133292,188,M173_R188_339
173.0814,1250008,913,M173_R913_340
173.1182,3880587,381,M173_R381_341
173.1181,1851568,297,M173_R297_342
173.1878,256211,179,M173_R179_343
173.1871,138801,54,M173_R54_344
173.2234,34675,359,M173_R359_345
173.2908,15833,165,M173_R165_346
173.2906,11550,53,M173_R53_347
174.0844,770423,179,M174_R179_350
174.0847,574585,54,M174_R54_351
174.0851,85676,934,M174_R934_352
174.1216,265252,382,M174_R382_353
174.9555,226302,55,M175_R55_354
175.0963,163045,198,M175_R198_357
176.0356,53538,303,M176_R303_359
177.0174,31620,854,M177_R854_360
177.0195,25221,201,M177_R201_362
177.0195,37063725,843,M177_R843_363
177.0548,517569,356,M177_R356_364
177.0919,290781,473,M177_R473_366
177.126,1809113,842,M177_R842_367
177.1278,151291,826,M177_R826_368
177.229,726297,842,M177_R842_369
177.2706,25998,844,M177_R844_370
178.0219,5139373,842,M178_R842_372
178.0864,10438,487,M178_R487_374
179.0093,48216,345,M179_R345_375
179.035,381195,105,M179_R105_376
179.0257,407732,840,M179_R840_377
179.0348,241460,309,M179_R309_378
179.034,339634,699,M179_R699_379
179.057,11386,148,M179_R148_381
179.0395,15486,999,M179_R999_382
179.0713,8948524,544,M179_R544_383
179.0648,45040,158,M179_R158_384
179.0714,34521,346,M179_R346_385
179.1069,423432,595,M179_R595_386
179.1786,106140,572,M179_R572_387
179.2826,20715,627,M179_R627_388
180.0346,45228,53,M180_R53_390
180.0299,51568,353,M180_R353_391
180.0428,43159,220,M180_R220_392
180.0668,658018,583,M180_R583_393
180.1119,31961,587,M180_R587_394
181.0501,5533706,577,M181_R577_396
181.0501,1975442,842,M181_R842_397
181.0489,212084,52,M181_R52_398
181.0501,70007,232,M181_R232_399
181.0767,116947,385,M181_R385_400
181.0856,13731,213,M181_R213_403
181.1244,20862,294,M181_R294_404
181.1592,103378,589,M181_R589_405
181.9921,1060887,52,M182_R52_410
182.0207,324146,440,M182_R440_412
182.0459,59223,461,M182_R461_413
182.046,13400,339,M182_R339_414
182.0539,300760,577,M182_R577_415
182.0537,12426,835,M182_R835_416
182.0821,90713,359,M182_R359_417
182.0823,16328,531,M182_R531_418
182.9995,11041,51,M183_R51_420
183.0114,206985,711,M183_R711_422
183.0371,17789,623,M183_R623_424
183.0662,30058,52,M183_R52_425
183.1024,306433,327,M183_R327_427
183.1387,380348,374,M183_R374_428
183.138,149929,679,M183_R679_429
184.0247,54430,315,M184_R315_432
184.0535,87194,626,M184_R626_433
185.0004,132892,650,M185_R650_436
185.0003,90006,402,M185_R402_437
185.0002,60530,514,M185_R514_438
185.0273,191874,219,M185_R219_439
185.0273,151486,53,M185_R53_440
185.0449,10901,138,M185_R138_442
185.0723,21304,329,M185_R329_445
185.0815,1592874,161,M185_R161_446
185.0813,2354993,54,M185_R54_447
185.0916,10606,299,M185_R299_448
185.1173,712226,399,M185_R399_449
185.1177,204982,934,M185_R934_450
185.1176,148933,1039,M185_R1039_451
185.1546,317301,730,M185_R730_452
185.1896,22203,180,M185_R180_453
186.0849,196381,184,M186_R184_457
186.085,13459,55,M186_R55_458
186.113,2051424,219,M186_R219_459
186.1131,81815,54,M186_R54_460
186.1211,39099,357,M186_R357_461
186.9986,12511,643,M187_R643_464
186.9985,11275,495,M187_R495_465
186.998,14883,379,M187_R379_467
187.0448,56227,359,M187_R359_469
187.0609,1617524,52,M187_R52_470
187.0974,43322165,241,M187_R241_471
187.0975,5794871,881,M187_R881_472
187.0972,260356,454,M187_R454_473
187.0974,413955,581,M187_R581_474
187.0973,265860,1079,M187_R1079_475
187.1336,7106122,435,M187_R435_477
187.207,1918365,234,M187_R234_478
187.2071,55586,926,M187_R926_479
187.2433,154942,437,M187_R437_480
187.313,872849,241,M187_R241_481
187.3499,23700,430,M187_R430_482
187.9672,25085,568,M188_R568_483
187.9671,24433,791,M188_R791_484
188.035,85662,499,M188_R499_485
188.093,115206,357,M188_R357_487
188.0925,16956,75,M188_R75_488
188.1005,458475,925,M188_R925_489
188.1009,4356035,232,M188_R232_490
188.1371,299551,409,M188_R409_492
188.1377,435569,434,M188_R434_493
188.8975,43201,1175,M189_R1175_494
