mz,intensity,rt,group
310.2105,286977,679,M310_R679_2560
310.283,56532,1153,M310_R1153_2563
310.3195,1336054,717,M310_R717_2564
310.4524,438207,717,M310_R717_2565
310.5721,16650,705,M311_R705_2566
310.9897,16945,627,M311_R627_2567
311.0563,4933034,489,M311_R489_2568
311.0776,207353,347,M311_R347_2569
311.0824,15490,540,M311_R540_2570
311.114,48643,52,M311_R52_2572
311.1307,53393,745,M311_R745_2573
311.1297,596755,464,M311_R464_2574
311.1503,188861,311,M311_R311_2575
311.1501,626171,419,M311_R419_2576
311.1671,1526391,657,M311_R657_2577
311.1689,31942760,705,M311_R705_2578
311.1865,4161471,474,M311_R474_2579
311.2024,61849,891,M311_R891_2580
311.223,3586997,656,M311_R656_2582
311.2595,523578,878,M311_R878_2583
311.2959,11731,993,M311_R993_2584
311.311,1102591,709,M311_R709_2586
311.4459,380369,702,M311_R702_2588
312.0596,598944,489,M312_R489_2591
312.0741,503028,631,M312_R631_2592
312.1261,40589,438,M312_R438_2594
312.1326,50653,468,M312_R468_2596
312.1541,14657,420,M312_R420_2597
312.153,15928,294,M312_R294_2598
312.1566,14870,602,M312_R602_2599
312.1723,6326132,706,M312_R706_2600
312.19,570056,470,M312_R470_2601
312.2262,456903,653,M312_R653_2603
312.2539,4630187,732,M312_R732_2604
312.2543,12413,1023,M312_R1023_2605
312.2625,34684,931,M312_R931_2606
312.3147,64119,713,M312_R713_2607
312.9715,6714485,793,M313_R793_2608
312.9731,288442,457,M313_R457_2609
313.0356,341807,428,M313_R428_2610
313.0352,114870,610,M313_R610_2611
313.0718,25101409,607,M313_R607_2612
313.0801,6782117,623,M313_R623_2613
313.1107,4800769,633,M313_R633_2615
313.1122,164390,770,M313_R770_2616
313.1313,34372,243,M313_R243_2618
313.1298,71814,53,M313_R53_2619
313.1223,17638,814,M313_R814_2620
313.1451,9854054,486,M313_R486_2621
313.1452,1062736,366,M313_R366_2622
313.1652,508045,471,M313_R471_2623
313.1493,175002,267,M313_R267_2624
313.1686,1569288,709,M313_R709_2625
313.1813,44393496,676,M313_R676_2626
313.2021,19537,1107,M313_R1107_2628
313.2026,525860,603,M313_R603_2629
313.2017,1756164,480,M313_R480_2630
313.2016,41456,743,M313_R743_2631
313.237,1129094,640,M313_R640_2632
313.2374,414805,855,M313_R855_2633
313.2368,117642,942,M313_R942_2634
313.2386,5509674,704,M313_R704_2635
313.2387,892405,946,M313_R946_2636
313.2749,1389517,862,M313_R862_2637
313.2872,145155,486,M313_R486_2638
313.3234,1312850,685,M313_R685_2639
313.3425,217204,623,M313_R623_2640
313.3502,356060,634,M313_R634_2641
313.3811,151359,820,M313_R820_2642
313.3811,382756,721,M313_R721_2643
313.4222,22742,486,M313_R486_2644
313.4583,407141,687,M313_R687_2645
313.4763,80814,623,M313_R623_2646
313.5175,10614,820,M314_R820_2647
313.5167,36040,723,M314_R723_2648
313.5862,69281,695,M314_R695_2650
313.974,835363,791,M314_R791_2651
314.0426,80019,505,M314_R505_2652
314.0753,5160193,610,M314_R610_2653
314.1148,1473409,616,M314_R616_2655
314.1486,1560075,480,M314_R480_2656
314.1703,66015,701,M314_R701_2657
314.1697,11825,477,M314_R477_2658
314.1844,10550166,685,M314_R685_2659
314.1971,178325,450,M314_R450_2660
314.1986,226545,471,M314_R471_2661
314.2169,42429,628,M314_R628_2662
314.2419,1993177,703,M314_R703_2663
314.2421,259911,931,M314_R931_2664
314.2518,46772,663,M314_R663_2665
314.2783,113105,865,M314_R865_2666
314.3272,105202,694,M314_R694_2667
314.3542,37795,623,M314_R623_2668
314.4614,19229,695,M314_R695_2669
314.9682,6586956,791,M315_R791_2670
315.0513,1104851,481,M315_R481_2671
315.0561,195750,752,M315_R752_2672
315.078,880812,628,M315_R628_2673
315.0879,193639,622,M315_R622_2674
315.0888,11772,490,M315_R490_2675
315.1101,426828,613,M315_R613_2676
315.1123,174536,791,M315_R791_2677
315.125,216963,327,M315_R327_2678
315.127,11455,518,M315_R518_2679
315.1457,107038,269,M315_R269_2680
315.1451,75076,53,M315_R53_2681
315.1609,584787,528,M315_R528_2682
315.1608,77267,796,M315_R796_2683
315.1814,25726028,468,M315_R468_2684
315.1815,1327205,1081,M315_R1081_2685
315.1969,12262913,676,M315_R676_2686
315.2179,1336581,574,M315_R574_2687
315.2185,3043850,711,M315_R711_2688
315.2174,149587,787,M315_R787_2689
315.2449,591570,719,M315_R719_2690
315.2454,117409,820,M315_R820_2691
315.2542,556511,1081,M315_R1081_2692
315.2542,26867122,691,M315_R691_2693
315.303,12628,493,M315_R493_2695
315.3245,1482930,468,M315_R468_2696
315.3389,483504,662,M315_R662_2697
315.3976,837832,690,M315_R690_2698
315.4601,480913,472,M315_R472_2699
315.4756,271392,663,M315_R663_2700
315.5324,217998,696,M316_R696_2701
315.6021,42473,702,M316_R702_2703
315.602,22681,605,M316_R605_2704
315.971,819872,791,M316_R791_2705
316.0549,85150,507,M316_R507_2706
316.0677,10225,718,M316_R718_2707
316.0804,10774,628,M316_R628_2708
316.1131,30557,640,M316_R640_2710
316.1638,183242,507,M316_R507_2713
316.1846,6506022,464,M316_R464_2714
316.1856,101720,1092,M316_R1092_2715
316.2003,2824275,662,M316_R662_2716
316.2216,213017,585,M316_R585_2718
316.2574,5790730,694,M316_R694_2719
316.3282,34383,466,M316_R466_2721
316.344,55093,697,M316_R697_2722
316.4793,28520,701,M316_R701_2724
316.4791,12173,605,M316_R605_2725
316.9079,11454,364,M317_R364_2727
316.9078,30684,757,M317_R757_2728
316.9486,120971,50,M317_R50_2729
316.9653,2202309,791,M317_R791_2730
317.0308,17779,238,M317_R238_2731
317.0671,1004218,387,M317_R387_2733
317.0672,503375,524,M317_R524_2734
317.0904,33907,52,M317_R52_2735
317.0824,222928,507,M317_R507_2736
317.105,19849,304,M317_R304_2737
317.1079,24557,792,M317_R792_2738
317.1247,237759,253,M317_R253_2739
317.1252,74777,52,M317_R52_2740
317.1257,40330,439,M317_R439_2741
317.1401,358422,489,M317_R489_2742
317.1557,12390,851,M317_R851_2743
317.1621,797864,436,M317_R436_2744
317.1763,856572,637,M317_R637_2745
317.1946,2090593,487,M317_R487_2746
317.2061,615247,693,M317_R693_2747
317.2128,1965569,701,M317_R701_2748
317.2329,134403,752,M317_R752_2749
317.2333,84985,636,M317_R636_2750
317.2601,310933,690,M317_R690_2751
317.3551,13468,740,M317_R740_2752
317.493,11462,748,M317_R748_2753
317.9689,224024,757,M318_R757_2755
318.0703,33141,394,M318_R394_2756
318.0715,57028,555,M318_R555_2757
318.1429,16353,489,M318_R489_2759
318.1794,134455,641,M318_R641_2761
318.1793,12438,459,M318_R459_2762
318.1929,111666,256,M318_R256_2763
318.2,208987,498,M318_R498_2764
318.2158,445240,693,M318_R693_2765
318.9045,46552,757,M319_R757_2766
318.9052,48129,364,M319_R364_2767
318.9626,132372,791,M319_R791_2768
318.98,112183,533,M319_R533_2769
319.0948,15020,670,M319_R670_2770
319.1558,120818,581,M319_R581_2774
319.1557,26129,325,M319_R325_2775
319.1763,1338600,365,M319_R365_2776
319.1667,15534,599,M319_R599_2778
319.1919,212693,535,M319_R535_2779
319.1925,36560,710,M319_R710_2780
319.1963,38260,1157,M319_R1157_2781
319.2128,233017,387,M319_R387_2783
319.2264,130610,693,M319_R693_2784
319.2307,1845185,778,M319_R778_2785
320.1406,10489,670,M320_R670_2790
320.1593,10700,378,M320_R378_2791
320.1804,28312,377,M320_R377_2792
320.1881,735646,629,M320_R629_2793
320.2234,37342,1026,M320_R1026_2795
320.2337,222287,774,M320_R774_2796
321.0776,33988,464,M321_R464_2801
321.0952,40059,609,M321_R609_2802
321.1,12670,530,M321_R530_2803
321.1356,61173,464,M321_R464_2804
321.135,17286,295,M321_R295_2805
321.1353,12954,52,M321_R52_2807
321.156,35263,228,M321_R228_2808
321.1742,2814853,681,M321_R681_2809
321.1711,416515,482,M321_R482_2810
321.192,143412,290,M321_R290_2811
321.2069,209333,600,M321_R600_2812
321.211,537498,1037,M321_R1037_2813
321.2111,1282509,1150,M321_R1150_2814
321.2108,13645732,806,M321_R806_2815
321.2191,3551951,640,M321_R640_2816
321.2436,601336,877,M321_R877_2817
321.2438,198253,697,M321_R697_2818
321.2794,40975,806,M321_R806_2819
321.3554,3268969,846,M321_R846_2821
321.3645,20073,652,M321_R652_2822
321.4912,1204871,847,M321_R847_2823
321.621,255956,847,M322_R847_2824
322.1461,160023,519,M322_R519_2825
322.1742,12639,465,M322_R465_2827
322.178,240930,684,M322_R684_2828
322.2138,19918629,843,M322_R843_2829
322.2142,64586,1051,M322_R1051_2830
322.2145,150559,1146,M322_R1146_2831
322.2102,80416,549,M322_R549_2832
322.224,857520,660,M322_R660_2833
322.359,281241,847,M322_R847_2837
322.4959,50446,845,M322_R845_2838
323.0563,119902,511,M323_R511_2840
323.1144,14613,407,M323_R407_2843
323.1293,5149247,526,M323_R526_2844
323.1296,320126,630,M323_R630_2845
323.1498,20997,295,M323_R295_2846
323.1541,2841538,665,M323_R665_2847
323.1555,133676,868,M323_R868_2848
323.1718,185912,684,M323_R684_2849
323.1865,139545,469,M323_R469_2850
323.1902,6421683,754,M323_R754_2851
323.2101,5689728,846,M323_R846_2852
323.2097,15332,1147,M323_R1147_2854
323.2232,2955780,713,M323_R713_2855
323.223,203321,846,M323_R846_2856
323.2229,34474,579,M323_R579_2857
323.2598,555463,861,M323_R861_2858
323.2597,61017,1056,M323_R1056_2859
323.2739,102260,552,M323_R552_2860
323.2706,10487,879,M323_R879_2861
323.3345,45169,784,M323_R784_2862
323.3326,23265,1074,M323_R1074_2863
323.4112,10664,575,M323_R575_2865
323.4712,28884,799,M323_R799_2866
324.1324,1176460,549,M324_R549_2868
324.1574,135372,695,M324_R695_2869
324.1933,976321,768,M324_R768_2872
324.212,405522,847,M324_R847_2874
324.2182,13090,495,M324_R495_2875
324.2265,378113,720,M324_R720_2876
324.2267,38014,809,M324_R809_2877
324.2629,44647,923,M324_R923_2880
324.9744,28392,608,M325_R608_2881
325.0155,50352,727,M325_R727_2882
325.0542,24790,684,M325_R684_2883
325.0682,19074,699,M325_R699_2884
325.0834,163372,339,M325_R339_2885
325.0927,13597,214,M325_R214_2886
325.1089,179326,399,M325_R399_2888
325.1272,13326,53,M325_R53_2890
325.1452,1514385,473,M325_R473_2892
325.1448,14520413,646,M325_R646_2893
325.1533,86558,868,M325_R868_2894
325.166,125553,385,M325_R385_2895
325.1693,1281575,652,M325_R652_2896
325.1845,12094078,724,M325_R724_2897
325.2022,23436683,514,M325_R514_2898
325.2023,1644445,625,M325_R625_2899
325.2104,26407,543,M325_R543_2901
325.2386,1217888,986,M325_R986_2902
325.2384,420834,781,M325_R781_2903
325.2387,1408011,584,M325_R584_2904
325.2751,1558561,935,M325_R935_2905
325.2899,288015,656,M325_R656_2906
325.3297,1598556,749,M325_R749_2908
325.3472,627818,514,M325_R514_2909
325.4277,85481,646,M325_R646_2910
325.4673,493852,738,M325_R738_2911
325.4855,151048,515,M325_R515_2912
325.5965,55824,751,M326_R751_2913
326.0346,360837,903,M326_R903_2914
326.0348,21263,728,M326_R728_2915
326.0718,317164,768,M326_R768_2916
326.0894,36927,666,M326_R666_2918
326.1481,2879222,647,M326_R647_2921
326.1484,87986,480,M326_R480_2922
326.1723,48018,661,M326_R661_2923
326.1881,7347481,743,M326_R743_2925
326.2055,4733714,514,M326_R514_2926
326.2414,198522,989,M326_R989_2927
326.2418,162073,579,M326_R579_2928
326.2425,79653,724,M326_R724_2929
326.2705,1448664,789,M326_R789_2930
326.2792,160444,958,M326_R958_2931
326.2884,12579,577,M326_R577_2933
326.333,101706,749,M326_R749_2934
327.013,32336,727,M327_R727_2937
327.038,50535,830,M327_R830_2938
327.0513,458918,504,M327_R504_2939
327.0635,40288,211,M327_R211_2941
327.0627,31659,52,M327_R52_2942
327.0627,29612,782,M327_R782_2943
327.0874,16169,454,M327_R454_2944
327.0876,399884,681,M327_R681_2945
327.1075,45826,52,M327_R52_2947
327.124,289317,740,M327_R740_2948
327.124,283543,601,M327_R601_2949
327.1242,235869,362,M327_R362_2950
327.1386,34881,505,M327_R505_2952
327.1532,223377,648,M327_R648_2954
327.1446,18613,266,M327_R266_2955
327.161,473616,517,M327_R517_2957
327.1605,697288,626,M327_R626_2958
327.1835,2683184,750,M327_R750_2959
327.1815,204834,493,M327_R493_2960
327.1821,33033,382,M327_R382_2961
327.2179,1111924,568,M327_R568_2962
327.2185,309479,1097,M327_R1097_2963
327.2339,404501,917,M327_R917_2964
327.2287,12730,424,M327_R424_2965
327.2278,23193,563,M327_R563_2966
327.2544,6237367,1023,M327_R1023_2967
327.2538,328354,609,M327_R609_2968
327.2544,7593491,789,M327_R789_2969
327.271,65887,789,M327_R789_2971
327.2907,4341480,918,M327_R918_2972
327.4007,205254,777,M327_R777_2973
327.4011,12326,998,M327_R998_2974
327.4353,12436,923,M327_R923_2975
327.5381,15686,779,M328_R779_2976
328.0313,88982,830,M328_R830_2977
328.0548,42176,505,M328_R505_2978
328.0565,71394,782,M328_R782_2979
328.0591,2943123,619,M328_R619_2980
328.061,464053,753,M328_R753_2981
328.0871,16793,1019,M328_R1019_2982
328.0914,31527,687,M328_R687_2983
328.1282,15584,378,M328_R378_2984
328.1641,51075,637,M328_R637_2986
328.1849,141524,749,M328_R749_2988
328.2061,57321,624,M328_R624_2990
328.2153,855443,534,M328_R534_2991
328.2212,108423,677,M328_R677_2992
328.2216,12480,1131,M328_R1131_2993
328.2577,1839011,779,M328_R779_2995
328.2576,893621,1027,M328_R1027_2996
328.2571,71138,609,M328_R609_2997
328.2944,491885,926,M328_R926_2998
329.0358,12942,830,M329_R830_2999
329.0667,2130453,538,M329_R538_3000
329.0854,11084250,606,M329_R606_3001
329.103,2185802,595,M329_R595_3002
329.1041,40626,379,M329_R379_3003
329.1245,66572,52,M329_R52_3004
329.1399,615861,420,M329_R420_3005
329.1411,72320,325,M329_R325_3006
329.1404,105141,523,M329_R523_3008
329.156,127817,806,M329_R806_3009
329.1762,17116551,528,M329_R528_3010
329.1764,1664417,744,M329_R744_3011
329.1967,18390164,511,M329_R511_3012
329.1978,57774,1111,M329_R1111_3013
329.1911,297679,921,M329_R921_3014
329.2131,51212,743,M329_R743_3015
329.2129,48481,536,M329_R536_3016
329.2334,1756944,567,M329_R567_3017
329.2537,147782,995,M329_R995_3020
329.27,836015,1143,M329_R1143_3021
329.2665,113698,779,M329_R779_3022
329.3216,540167,503,M329_R503_3025
329.3434,327070,505,M329_R505_3026
329.3715,108108,580,M329_R580_3027
329.4573,45275,480,M329_R480_3028
329.4609,123138,495,M329_R495_3029
329.4821,19699,504,M329_R504_3030
329.5901,13661,479,M330_R479_3031
329.9604,654308,757,M330_R757_3032
330.0332,114283,550,M330_R550_3033
330.0702,379531,514,M330_R514_3035
330.0703,36751,626,M330_R626_3036
330.0898,1999498,605,M330_R605_3037
330.1257,307205,789,M330_R789_3038
330.1077,28714,621,M330_R621_3039
330.1428,74674,424,M330_R424_3040
330.1583,15758,803,M330_R803_3041
330.1656,20538,287,M330_R287_3042
330.1732,12580,584,M330_R584_3043
330.1799,299746,734,M330_R734_3044
330.18,3082073,509,M330_R509_3045
330.2006,1820290,516,M330_R516_3046
330.2371,542274,521,M330_R521_3048
330.2445,368531,1068,M330_R1068_3049
330.2647,42481,876,M330_R876_3050
330.2741,52341,1143,M330_R1143_3051
330.3247,21033,479,M330_R479_3052
330.9626,48941,757,M331_R757_3053
331.0459,365630,620,M331_R620_3054
331.0299,102267,335,M331_R335_3055
331.0651,24715,505,M331_R505_3056
331.0825,3367475,528,M331_R528_3057
331.1205,1106777,854,M331_R854_3059
331.1225,833246,551,M331_R551_3060
331.1281,60112,791,M331_R791_3061
331.1397,56113,52,M331_R52_3062
331.1409,120642,253,M331_R253_3063
331.1555,73593,431,M331_R431_3064
331.1717,12170,887,M331_R887_3065
331.1777,6494461,485,M331_R485_3066
331.1921,7045479,518,M331_R518_3067
331.1922,2037036,664,M331_R664_3068
331.2121,1252001,550,M331_R550_3069
331.2286,2118452,789,M331_R789_3070
331.2493,1808526,578,M331_R578_3072
331.2492,897505,716,M331_R716_3073
331.2639,155993,1059,M331_R1059_3074
331.3232,97160,481,M331_R481_3076
331.3383,83119,522,M331_R522_3077
331.3397,61918,677,M331_R677_3078
331.3747,26165,790,M331_R790_3079
331.4763,12704,484,M331_R484_3080
331.4786,22987,704,M331_R704_3081
331.4778,23002,637,M331_R637_3082
331.9563,282597,747,M332_R747_3083
332.0307,72829,550,M332_R550_3085
332.0494,33060,620,M332_R620_3086
332.0869,389987,523,M332_R523_3087
332.1238,66382,854,M332_R854_3088
332.1258,25471,565,M332_R565_3089
332.1404,63487,497,M332_R497_3090
332.1946,2097040,504,M332_R504_3091
332.1953,319814,665,M332_R665_3092
332.2162,72865,552,M332_R552_3093
332.2316,310982,785,M332_R785_3094
332.2529,185057,594,M332_R594_3095
332.2688,16679,1063,M332_R1063_3096
332.2809,214466,590,M332_R590_3097
332.3394,20452,504,M332_R504_3098
333.0009,17927,473,M333_R473_3101
333.0891,14783,516,M333_R516_3103
333.119,39347,52,M333_R52_3104
333.1194,39043,184,M333_R184_3105
333.127,63316,565,M333_R565_3106
333.1348,18092,449,M333_R449_3107
333.1354,29656,528,M333_R528_3108
333.1503,10770,743,M333_R743_3109
333.1562,22608,264,M333_R264_3110
333.1584,14952,289,M333_R289_3111
333.172,208110,458,M333_R458_3112
333.2075,3365546,601,M333_R601_3115
333.2207,855019,845,M333_R845_3116
333.2254,10322,611,M333_R611_3117
333.227,52542,509,M333_R509_3118
333.2569,14366,814,M333_R814_3119
333.2789,1107826,1126,M333_R1126_3121
333.2797,22852,859,M333_R859_3122
333.2843,30192,577,M333_R577_3123
333.3548,77556,656,M333_R656_3124
333.4943,19432,594,M333_R594_3126
333.4938,14672,496,M333_R496_3127
333.953,33581,747,M334_R747_3128
334.0302,10358,549,M334_R549_3129
334.1736,35761,435,M334_R435_3132
334.2107,631628,595,M334_R595_3133
334.2239,47289,853,M334_R853_3134
334.2841,114068,1127,M334_R1127_3135
334.3583,10887,647,M334_R647_3136
335.0115,10733,722,M335_R722_3137
335.0522,44372,475,M335_R475_3138
335.0533,25740,678,M335_R678_3139
335.1173,79192,525,M335_R525_3141
335.1497,173052,461,M335_R461_3142
335.1499,143173,587,M335_R587_3143
335.1904,1599059,755,M335_R755_3147
335.1862,534977,482,M335_R482_3148
335.208,371261,356,M335_R356_3149
335.2153,109503,661,M335_R661_3150
335.2171,10254,856,M335_R856_3151
335.2227,2450408,587,M335_R587_3152
335.2216,243549,854,M335_R854_3153
335.2593,1083870,905,M335_R905_3155
335.2961,20177,1170,M335_R1170_3158
335.3698,42762,593,M335_R593_3160
335.3697,28711,489,M335_R489_3161
336.074,221653,441,M336_R441_3164
336.1833,51603,531,M336_R531_3165
336.193,134183,755,M336_R755_3166
336.1908,115616,467,M336_R467_3167
336.2266,576359,599,M336_R599_3169
336.2267,292695,493,M336_R493_3170
336.2622,210389,907,M336_R907_3173
336.9897,58558,705,M337_R705_3175
337.0357,123303,489,M337_R489_3177
337.0578,425405,799,M337_R799_3179
337.0772,26034,441,M337_R441_3180
337.0927,20415,471,M337_R471_3181
337.1081,299973,644,M337_R644_3183
337.1151,51095,51,M337_R51_3184
337.1294,78120,488,M337_R488_3187
337.1671,93740,466,M337_R466_3189
337.1694,310343,589,M337_R589_3190
337.1683,16020,290,M337_R290_3191
337.1688,45508,900,M337_R900_3192
337.1899,326758,510,M337_R510_3194
337.187,64558,742,M337_R742_3195
337.2058,59908,1146,M337_R1146_3197
337.2069,92883441,811,M337_R811_3198
337.2023,986427,497,M337_R497_3199
337.2058,40254,1033,M337_R1033_3200
337.2388,21717,648,M337_R648_3203
337.2386,55221,768,M337_R768_3204
337.2747,68749,879,M337_R879_3205
337.3483,393274,1104,M337_R1104_3206
337.3548,5524364,811,M337_R811_3207
337.4868,149316,810,M337_R810_3208
337.4921,2031873,812,M337_R812_3209
337.6256,677630,813,M338_R813_3210
338.0625,24162,800,M338_R800_3212
338.1713,29241,589,M338_R589_3216
338.1682,10286,408,M338_R408_3217
338.2058,78037,463,M338_R463_3218
338.2091,34352162,813,M338_R813_3220
338.2285,15465,620,M338_R620_3222
338.245,3620583,243,M338_R243_3223
338.2702,94464,792,M338_R792_3224
338.3519,23680,1104,M338_R1104_3225
338.356,910998,813,M338_R813_3226
338.3936,66477,246,M338_R246_3227
338.4962,180904,813,M338_R813_3228
338.954,10455,603,M339_R603_3230
339.11,491173,812,M339_R812_3235
339.1245,136529,622,M339_R622_3237
339.1609,134618,466,M339_R466_3240
339.1855,1152234,695,M339_R695_3242
339.1817,541171,421,M339_R421_3243
339.2007,33093044,793,M339_R793_3244
339.2059,41491,1053,M339_R1053_3245
339.2175,571558,579,M339_R579_3246
339.2336,99379,998,M339_R998_3247
339.2546,562598,829,M339_R829_3248
339.2484,590593,239,M339_R239_3249
339.2908,522903,992,M339_R992_3251
339.3271,59693,1067,M339_R1067_3252
339.3295,19082,389,M339_R389_3253
339.3487,1094469,795,M339_R795_3254
339.4404,113071,918,M339_R918_3257
339.4882,338732,793,M339_R793_3259
339.58,24119,918,M340_R918_3264
339.6207,11801,794,M340_R794_3265
340.1135,11153,874,M340_R874_3270
340.1098,11055,804,M340_R804_3271
340.1851,107674,398,M340_R398_3274
340.1884,90196,667,M340_R667_3275
340.2038,7161228,796,M340_R796_3276
340.2134,330508,488,M340_R488_3277
340.221,21958,559,M340_R559_3278
340.2379,10433,1019,M340_R1019_3279
340.2498,85423,422,M340_R422_3281
340.2503,37158,246,M340_R246_3282
340.2499,218377,652,M340_R652_3283
340.2585,35698,829,M340_R829_3284
340.2859,2168616,844,M340_R844_3285
340.294,26174,987,M340_R987_3286
340.3514,81819,793,M340_R793_3288
341.0588,74906,680,M341_R680_3295
341.0664,79971,476,M341_R476_3296
341.0781,65438,472,M341_R472_3297
341.1036,237796,554,M341_R554_3298
341.1037,44541,385,M341_R385_3299
341.1037,48123,738,M341_R738_3300
341.1037,10588,284,M341_R284_3301
341.1098,943695,51,M341_R51_3303
341.1403,3835104,583,M341_R583_3304
341.1401,342533,693,M341_R693_3305
341.1613,38121,313,M341_R313_3307
341.1615,31720,228,M341_R228_3309
341.1758,14212,980,M341_R980_3310
341.1799,114732,642,M341_R642_3311
341.1808,106104,753,M341_R753_3312
341.1999,1795742,795,M341_R795_3313
341.1969,448651,553,M341_R553_3314
341.1968,122598,424,M341_R424_3315
341.2127,225117,784,M341_R784_3317
341.2083,54145,494,M341_R494_3318
341.2336,570966,597,M341_R597_3319
341.2332,3776144,800,M341_R800_3320
341.2483,22043,645,M341_R645_3321
341.2704,11388136,1012,M341_R1012_3324
341.27,19085830,829,M341_R829_3325
341.2692,48788,635,M341_R635_3326
341.2862,465043,852,M341_R852_3327
341.2867,34923,1002,M341_R1002_3328
341.2876,22215,568,M341_R568_3329
341.3066,1400182,973,M341_R973_3330
341.3183,61990,917,M341_R917_3331
341.3179,58709,844,M341_R844_3332
341.3822,30208,818,M341_R818_3333
341.4192,338999,1047,M341_R1047_3336
341.4197,464553,830,M341_R830_3337
341.5597,131020,828,M342_R828_3339
341.5604,81931,1050,M342_R1050_3340
342.0977,32628,718,M342_R718_3343
342.1127,59959,50,M342_R50_3344
342.1104,68081,498,M342_R498_3345
342.1341,11528,367,M342_R367_3347
342.1428,562412,603,M342_R603_3348
342.1831,10173,643,M342_R643_3350
342.1943,18910,798,M342_R798_3351
342.1935,10661,540,M342_R540_3352
342.2013,82589,750,M342_R750_3353
342.2007,20270,413,M342_R413_3354
342.2294,297183,551,M342_R551_3355
342.2368,545499,813,M342_R813_3356
342.2649,454382,742,M342_R742_3359
342.2734,2635250,1040,M342_R1040_3360
342.2733,3807038,829,M342_R829_3361
342.3102,199468,974,M342_R974_3362
342.4229,16559,828,M342_R828_3363
343.0461,496979,411,M343_R411_3364
343.0654,47473,522,M343_R522_3365
343.0825,6476544,611,M343_R611_3366
343.092,7591514,624,M343_R624_3367
343.1194,453228,291,M343_R291_3369
343.1194,92089,433,M343_R433_3371
343.1343,97499,750,M343_R750_3372
343.1397,60245,52,M343_R52_3373
343.1555,176119,732,M343_R732_3374
343.1571,70992,316,M343_R316_3375
343.1558,182549,515,M343_R515_3376
343.1766,71123,368,M343_R368_3379
343.1921,6661233,692,M343_R692_3380
343.2131,35680072,556,M343_R556_3381
343.2126,572400,1097,M343_R1097_3382
343.2312,719241,597,M343_R597_3383
343.2491,940105,812,M343_R812_3385
343.2493,723006,632,M343_R632_3386
343.2677,901193,829,M343_R829_3387
343.2765,204016,1047,M343_R1047_3388
343.2857,460353,786,M343_R786_3389
343.3407,17630,694,M343_R694_3390
343.3627,1423835,563,M343_R563_3391
343.5035,626238,566,M344_R566_3392
343.6361,39536,579,M344_R579_3393
344.0859,5081398,620,M344_R620_3395
344.1222,25579,297,M344_R297_3396
344.1614,23003,647,M344_R647_3400
344.1956,998514,690,M344_R690_3402
344.2161,5887695,556,M344_R556_3403
344.2167,22333,1097,M344_R1097_3404
344.2338,137630,610,M344_R610_3405
344.2447,10021,474,M344_R474_3408
344.2524,64240,821,M344_R821_3409
344.2528,100439,674,M344_R674_3410
344.2523,23892,586,M344_R586_3411
344.2813,1431211,959,M344_R959_3412
344.3651,91687,579,M344_R579_3414
345.0621,102261,452,M345_R452_3417
345.0881,619223,608,M345_R608_3418
345.0985,10802,454,M345_R454_3419
345.0995,61938,787,M345_R787_3420
345.1306,11871,693,M345_R693_3422
345.1344,21443,335,M345_R335_3423
345.1557,715538,331,M345_R331_3424
345.1499,111936,775,M345_R775_3425
345.1551,44135,52,M345_R52_3426
345.1521,119251,651,M345_R651_3427
345.1713,1047681,529,M345_R529_3429
345.1703,190958,306,M345_R306_3430
345.1916,533986,557,M345_R557_3431
345.1913,11324,350,M345_R350_3432
345.2076,2660675,838,M345_R838_3433
345.2279,1097652,575,M345_R575_3434
345.245,96791,873,M345_R873_3435
345.2644,50592,817,M345_R817_3436
345.2844,87461,962,M345_R962_3437
345.3193,53991,480,M345_R480_3438
345.4629,22214,456,M345_R456_3439
346.0906,26757,624,M346_R624_3440
346.1259,22152,482,M346_R482_3443
346.1453,1414257,852,M346_R852_3444
346.1534,12386,775,M346_R775_3445
346.1532,18218,651,M346_R651_3446
346.1748,440873,508,M346_R508_3447
346.2109,311081,840,M346_R840_3451
346.2165,18267,580,M346_R580_3452
346.2316,85041,587,M346_R587_3453
346.2967,20108,867,M346_R867_3456
346.9745,2119997,581,M347_R581_3458
346.968,42830,765,M347_R765_3459
347.1249,30649,608,M347_R608_3460
347.1353,483695,53,M347_R53_3461
347.1352,901321,217,M347_R217_3462
347.1365,85671,847,M347_R847_3464
347.1496,15239,477,M347_R477_3465
347.1488,194484,852,M347_R852_3466
347.1714,367588,344,M347_R344_3467
347.1867,675592,523,M347_R523_3469
347.199,20179,702,M347_R702_3470
347.2067,14687,500,M347_R500_3471
347.223,775082,895,M347_R895_3472
347.2225,108288,625,M347_R625_3473
347.2439,694907,719,M347_R719_3474
347.26,69914,939,M347_R939_3475
347.2593,24957,854,M347_R854_3476
347.2961,99419,893,M347_R893_3477
347.3354,18465,522,M347_R522_3478
347.9779,76252,608,M348_R608_3479
348.1347,11680,739,M348_R739_3480
348.1381,17415,209,M348_R209_3481
348.1757,19519,338,M348_R338_3482
348.1901,153179,537,M348_R537_3483
348.2265,102350,930,M348_R930_3485
348.2217,10006,672,M348_R672_3486
348.2268,37554,836,M348_R836_3487
348.2478,30700,734,M348_R734_3488
348.9399,191241,556,M349_R556_3491
348.9657,43643,764,M349_R764_3493
349.0271,12800,844,M349_R844_3494
349.0568,24610,309,M349_R309_3495
349.0699,12808,746,M349_R746_3496
