mz,rt,intensity,Formula
246.0279,1,425,C9H5F7
247.9072,1,179,C3BrF7
247.9884,1,925,C5HF9O
247.9884,1,440,C5HF9O
248.0184,1,718,C7H3F7N2
248.0184,1,947,C7H3F7N2
248.0248,1,161,C6H5F9
249.02,1,301,C5H4F9N
249.984,1,880,C5F10
249.984,1,917,C5F10
249.984,1,107,C5F10
249.984,1,159,C5F10
250.004,1,910,C5H3F9O
250.004,1,379,C5H3F9O
250.004,1,228,C5H3F9O
250.004,1,698,C5H3F9O
250.004,1,846,C5H3F9O
250.0341,1,795,C7H5F7N2
250.0428,1,722,C8H8F6O2
252.0021,1,335,C7H3F7O2
252.0246,1,493,C5H3F7N4
252.0749,1,339,C9H11F7
253.0338,1,353,C7H6F7NO
253.0338,1,199,C7H6F7NO
253.0338,1,517,C7H6F7NO
253.9545,1,312,C4ClF9
253.9789,1,850,C4F10O
253.9926,1,353,C5HF7N2O2
254.0178,1,406,C7H5F7O2
254.0178,1,976,C7H5F7O2
254.0178,1,112,C7H5F7O2
254.0178,1,355,C7H5F7O2
254.0178,1,283,C7H5F7O2
254.0342,1,880,C8H6F8
254.0542,1,119,C8H9F7O
254.0905,1,758,C9H13F7
255.0494,1,831,C7H8F7NO
255.0494,1,592,C7H8F7NO
256.0334,1,131,C7H7F7O2
256.0334,1,600,C7H7F7O2
256.0334,1,228,C7H7F7O2
256.0334,1,329,C7H7F7O2
256.0334,1,339,C7H7F7O2
257.0287,1,484,C6H6F7NO2
257.0287,1,860,C6H6F7NO2
257.0287,1,862,C6H6F7NO2
257.0651,1,441,C7H10F7NO
258.0091,1,297,C7H3F9
258.0127,1,307,C6H5F7O3
258.0291,1,646,C7H6F8O
258.0291,1,112,C7H6F8O
260.0248,1,799,C7H5F9
260.0436,1,846,C10H7F7
260.0436,1,466,C10H7F7
260.0436,1,560,C10H7F7
261.0388,1,992,C9H6F7N
261.0388,1,779,C9H6F7N
261.0388,1,633,C9H6F7N
261.9632,1,894,C5H2ClF7O2
261.984,1,770,C6F10
261.9995,1,513,C6H6ClF7O
262.004,1,667,C6H3F9O
262.004,1,765,C6H3F9O
262.004,1,574,C6H3F9O
262.0229,1,150,C9H5F7O
262.0229,1,555,C9H5F7O
262.024,1,924,C6H6F8O2
262.0341,1,777,C8H5F7N2
262.0404,1,192,C7H7F9
262.0628,1,268,C9H11F5O3
262.9993,1,751,C5H2F9NO
263.0181,1,638,C8H4F7NO
263.9491,1,260,C4F8O2S
263.9833,1,320,C5HF9O2
263.9997,1,187,C6H2F10
264.0134,1,733,C7H3F7N2O
264.0185,1,320,C9H4F8
264.0197,1,199,C6H5F9O
264.0197,1,601,C6H5F9O
264.0197,1,113,C6H5F9O
264.0197,1,339,C6H5F9O
265.0338,1,239,C8H6F7NO
265.95,1,446,C5H3Cl2F7
265.9789,1,293,C5F10O
265.9789,1,893,C5F10O
265.9789,1,264,C5F10O
265.9789,1,358,C5F10O
265.9789,1,150,C5F10O
265.9989,1,907,C5H3F9O2
266.0153,1,977,C6H4F10
266.0178,1,619,C8H5F7O2
266.0542,1,377,C9H9F7O
266.0905,1,948,C10H13F7
267.0243,1,893,C6H4F7N3O
267.0494,1,484,C8H8F7NO
267.7534,1,690,CBr3F
268.0334,1,216,C8H7F7O2
268.0334,1,118,C8H7F7O2
268.0334,1,571,C8H7F7O2
268.0334,1,888,C8H7F7O2
268.0334,1,930,C8H7F7O2
268.0334,1,939,C8H7F7O2
268.0334,1,899,C8H7F7O2
268.0498,1,962,C9H8F8
268.9858,1,693,C5H2F7N3S
269.0287,1,614,C7H6F7NO2
